,source_id,source_name,author,title,description,url,urlToImage,publishedAt,content
0,,Yahoo Entertainment,Cristina Alexander,Overwatch 2 shows off Transformers skins in animated trailer,"Blizzard and Hasbro have revealed the Transformers skins for Overwatch 2’s upcoming collaboration with the popular mecha toy franchise. The two companies released an animated trailer
 on the Overwatch YouTube channel today, showing off the skins based on thr…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_f7cfb0fb-e002-4dd9-9f52-afb6eebbc263,,2024-07-08T22:23:59Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
1,,Yahoo Entertainment,Will Shanklin,The makers of Palworld have formed a new company in partnership with Sony,"The maker of Xbox Game Pass stalwart Palworld said on Wednesday it’s forming a new company in partnership with… Sony. Palworld developer and publisher Pocketpair announced its new team-up with Sony Music Entertainment to create Palworld Entertainment, Inc. Th…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_509eab5d-8602-4ea6-82a6-d24d6b79bdac,,2024-07-10T18:48:24Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
2,the-verge,The Verge,Jay Peters,I regret buying the PSVR 2,"For months, I’ve been thinking about selling my PlayStation VR 2. After a damning scoop, I’m finally ready to let it go.",https://www.theverge.com/2024/6/23/24183482/psvr-2-regret,https://cdn.vox-cdn.com/thumbor/d3P6REli62XCeJsNj1B7FoZHSNw=/0x0:2550x1700/1200x628/filters:focal(1275x850:1276x851)/cdn.vox-cdn.com/uploads/chorus_asset/file/24435167/236532_PSVR2_AKrales_0620.jpg,2024-06-23T12:00:00Z,"I regret buying the PSVR 2
I regret buying the PSVR 2
 / It seems like Sony is giving up on the platform, and so am I.
ByJay Peters, a news editor who writes about technology, video games, and vir… [+4805 chars]"
3,,Gizmodo.com,Justin Carter,RWBY Will RTRN With Some Help From Viz Media,"Rooster Teeth may be gone, but its action-fantasy anime gets another shot at life from the biggest manga publisher and anime company around.",https://gizmodo.com/rwby-anime-viz-media-revival-rooster-teeth-2000377196,https://gizmodo.com/app/uploads/2024/07/rwby-return.jpg,2024-07-06T18:50:25Z,"Last month, Rooster Teeth was shut down by Warner Bros. after a pretty long 21-year run. Before and after its end, there were questions about what would happen with Red vs. Blue and RWBY, its two fla… [+2035 chars]"
4,,Gizmodo.com,Cheryl Eddy,First Trailer for Rick and Morty: The Anime Reveals a Familiar (Yet Skewed) New Dimension,Adult Swim's new 10-episode anime series based on Rick and Morty comes from acclaimed director Takashi Sano.,https://gizmodo.com/first-trailer-for-rick-and-morty-the-anime-reveals-a-familiar-yet-skewed-new-dimension-2000469442,https://gizmodo.com/app/uploads/2024/07/Screenshot-2024-07-11-at-9.40.00 AM.jpg,2024-07-11T18:45:32Z,"Rick and Morty fans are used to seeing the show’s portal-hopping characters visit bizarre worlds that in no way resemble our own; they’re also familiar with seeing Rick, Morty, and the rest of the ga… [+1781 chars]"
5,,Gizmodo.com,Gordon Jackson,Terminator: Zero Debuts its First Trailer Just In Time for Armageddon,"Netflix has released a trailer for its new Terminator anime series from Skydance, Production I.G, Masashi Kudō and Mattson Tomlin.",https://gizmodo.com/terminator-zero-anime-trailer-netflix-2000473348,https://gizmodo.com/app/uploads/2024/07/unnamed-2.jpg,2024-07-15T14:15:01Z,"Netflix has released a trailer for its new Terminator anime series from Skydance, Production I.G, Masashi Kud and Mattson Tomlin. Take a look:
Starring the voices of Timothy Olyphant, Rosario Dawson… [+1580 chars]"
6,,Gizmodo.com,Gordon Jackson,New Superman Set Pictures Reveal Even More DC Heroes,"Plus, get a new look at the heroine of the Lord of the Rings anime movie, War of the Rohirrim.",https://gizmodo.com/superman-set-pictures-james-gunn-hawkgirl-green-lantern-1851575034,https://gizmodo.com/app/uploads/2024/07/sdfgoihdofigh-2.jpg,2024-07-05T13:04:57Z,Final Destination‘s creator is working on a Bloody Mary movie. The Crow‘s director Rupert Sanders discusses keeping true to the original graphic novel. Junji Ito has some updates for the Uzumaki anim… [+2997 chars]
7,,Gizmodo.com,Justin Carter,Batman Ninja’s Sequel Brings His Coworkers Along For the Anime Ride,"After beating his rogues gallery in the first film, Batman now has to fight an evil Justice League with some sick new designs.",https://gizmodo.com/batman-ninja-yakuza-league-teaser-2000377267,https://gizmodo.com/app/uploads/2024/07/batman-ninja.jpg,2024-07-07T18:50:47Z,"Last month, WB revealed a sequel to its 2018 movie Batman Ninja was in the works. With the intriguing title of Batman Ninja vs. the Yakuza League, you had to wonder what the Dark Knight would be up t… [+1613 chars]"
8,,Gizmodo.com,Gordon Jackson,Giancarlo Esposito Teases His Intriguing Captain America: Brave New World Character,"Plus, get another new look at Jack Kesy's Hellboy in a new image from The Crooked Man.",https://gizmodo.com/giancarlo-esposito-captain-america-brave-new-world-2000471735,https://gizmodo.com/app/uploads/2024/07/sdfgoihdofigh-6-1.jpg,2024-07-15T13:00:25Z,"Rick &amp; Morty: The Anime gives a sneak peek of its hijinks in Japanese. Meet Rings of Power‘s biggest creatures yet. Get a look at Batman: Caped Crusader‘s slick new ride. Plus, Evil goes tinfoil … [+2557 chars]"
9,ars-technica,Ars Technica,Ashley Belanger,"The “Netflix of anime” piracy site abruptly shuts down, shocking users",Animeflix shutters amid intensifying global crackdown on anime piracy.,https://arstechnica.com/tech-policy/2024/07/the-netflix-of-anime-piracy-site-abruptly-shuts-down-shocking-users/,https://cdn.arstechnica.net/wp-content/uploads/2024/07/The-Fable-press-image-760x380.jpeg,2024-07-05T17:02:01Z,"Enlarge/ Disney+ promotional art for The Fable, an anime series that triggered Animeflix takedown notices.
9
Thousands of anime fans were shocked Thursday when the popular piracy site Animeflix vol… [+3224 chars]"
10,,CNET,Zachary McAuliffe,Crunchyroll Game Vault Is More Than Doubling Its Size Soon,Mega and Ultimate members can play these titles and more soon.,https://www.cnet.com/tech/gaming/crunchyroll-game-vault-is-more-than-doubling-its-size-soon/,https://www.cnet.com/a/img/resize/60df144c236f7020275e4d8063e607727044ff67/hub/2024/05/08/3f67f20f-374b-42e4-9b62-cd7cae5431a6/crunchyroll-streaming-tv-movies-0573.jpg?auto=webp&fit=crop&height=675&width=1200,2024-06-27T13:00:07Z,"Anime streaming service Crunchyroll said Thursday that it's growing its Crunchyroll Game Vault library by adding more than a dozen new titles to the service soon. Prior to the announcement, Crunchyro… [+6803 chars]"
11,,CNET,Kourtnee Jackson,Heat Wave Entertainment: Which Streaming Services Deserve Your Summer Subscription?,"July's hottest releases like Cobra Kai, Descendants 4, Élite and The Boys' finale will keep summer sizzling.",https://www.cnet.com/tech/services-and-software/heat-wave-entertainment-which-streaming-services-deserve-your-subscription/,https://www.cnet.com/a/img/resize/e4607b171d5bcca2ac4d6285ad415b2632005398/hub/2024/06/28/cd89d462-56ce-44a4-8f6f-c05d2d25f8fa/beverly-hills-cop-axel-f-netflix.jpg?auto=webp&fit=crop&height=675&width=1200,2024-07-13T13:15:04Z,"The weather is scorching, and with school out for the summer, many of you are looking for ways to beat the heat. Luckily, July is promising for fans of cult-favorite franchises. Netflix has Beverly H… [+7331 chars]"
12,,NPR,Emma Bowman,Highlights and heartbreak at the U.S. Olympics track trials,"That's a wrap on the U.S. Track and Field Trials, where it was make or break to get to the Paris games. Meet some of the sprinters, distance runners and shot-putters who will compete in France.",https://www.npr.org/2024/07/01/nx-s1-5024266/u-s-olympics-track-trials-recap,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/6735x3788+0+351/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2F19%2F24%2Fe36c210546acacd724884c6effde%2Fap24175117988914.jpg,2024-07-01T09:00:30Z,"EUGENE, Ore. Olympians were born and a world record was broken. The U.S. Olympics Track and Field team is finalized after a 10-day meet at Hayward Field. It offered a preview of the prowess to come w… [+6360 chars]"
13,business-insider,Business Insider,"Lara O'Reilly,Lauren Johnson,Michael Kaminer",Business Insider's most innovative CMOs of 2024,"Business Insider's annual list of the ""Most Innovative CMOs"" spotlights marketers who are rising to challenges while also using new technology, such as generative AI.",https://www.businessinsider.com/most-innovative-chief-marketing-officers-2024-6,https://i.insider.com/66704e33ed9a404d829e47cf?width=1200&format=jpeg,2024-06-18T09:00:01Z,"From left: Mayur Gupta, Kim Chappell, Kory Marchisotto, Asad Ayaz and Jonnie CahillBI
<ul>
<li>
CMOs are under increased pressure to grow their brands while reaching new audiences.

</li>
<li>They'… [+52267 chars]"
14,,ReadWrite,Paul McNally,"All the Once Human codes out there, how to redeem them and what they do","Once Human reminds us of an anime in a lot of ways and what do a lot of anime-type games… Continue reading All the Once Human codes out there, how to redeem them and what they do
The post All the Once Human codes out there, how to redeem them and what they do…",https://readwrite.com/once-human-codes/,https://readwrite.com/wp-content/uploads/2024/07/once_human_gear.jpg,2024-07-10T11:20:36Z,"Once Human reminds us of an anime in a lot of ways and what do a lot of anime-type games have? Codes thats what. Its still a little surprising to see a code mechanic in a survival game such as this, … [+1456 chars]"
